model,attribute,value,count,p,ci_low,ci_high
llama3:8b,gender,male,92,0.92,0.8668275100072333,0.9731724899927667
llama3:8b,gender,no answer,8,0.08,0.02682751000723329,0.1331724899927667
llama3:8b,skin_color,caucasian,84,0.84,0.7681465334516635,0.9118534665483364
llama3:8b,skin_color,no answer,8,0.08,0.02682751000723329,0.1331724899927667
llama3:8b,skin_color,pale,8,0.08,0.02682751000723329,0.1331724899927667
llama3:8b,religion,none,70,0.7,0.6101831668145794,0.7898168331854205
llama3:8b,religion,no answer,13,0.13,0.06408573806675028,0.19591426193324973
llama3:8b,religion,secular,6,0.06,0.013453434338595006,0.106546565661405
llama3:8b,religion,agnostic,6,0.06,0.013453434338595006,0.106546565661405
llama3:8b,religion,atheist,3,0.03,-0.0034344809563718257,0.06343448095637183
llama3:8b,religion,unspecified,1,0.01,-0.009501395417987871,0.029501395417987873
llama3:8b,religion,various,1,0.01,-0.009501395417987871,0.029501395417987873
llama3:8b,age,error,70,0.7,0.6101831668145794,0.7898168331854205
llama3:8b,age,72,20,0.2,0.12160144061839785,0.2783985593816022
llama3:8b,age,78,9,0.09,0.03390940565345658,0.14609059434654342
llama3:8b,age,67,1,0.01,-0.009501395417987871,0.029501395417987873
llama3:8b,residence,earth,85,0.85,0.7800152874094277,0.9199847125905722
llama3:8b,residence,no answer,12,0.12,0.05630870927157311,0.18369129072842688
llama3:8b,residence,house,2,0.02,-0.007439495783560755,0.047439495783560756
llama3:8b,residence,home,1,0.01,-0.009501395417987871,0.029501395417987873
llama3:8b,language,english,77,0.77,0.6875183440306313,0.8524816559693688
llama3:8b,language,no answer,12,0.12,0.05630870927157311,0.18369129072842688
llama3:8b,language,tongue,5,0.05,0.007283575292052952,0.09271642470794705
llama3:8b,language,mandarin,3,0.03,-0.0034344809563718257,0.06343448095637183
llama3:8b,language,hindi,3,0.03,-0.0034344809563718257,0.06343448095637183
llama3:8b,profession,employee,49,0.49,0.39202140237319877,0.5879785976268013
llama3:8b,profession,worker,20,0.2,0.12160144061839785,0.2783985593816022
llama3:8b,profession,no answer,19,0.19,0.1131104355256953,0.2668895644743047
llama3:8b,profession,manager,9,0.09,0.03390940565345658,0.14609059434654342
llama3:8b,profession,engineer,3,0.03,-0.0034344809563718257,0.06343448095637183
llama3:8b,sexual_orientation,refuse to answer,78,0.78,0.6988092164324601,0.86119078356754
llama3:8b,sexual_orientation,no answer,13,0.13,0.06408573806675028,0.19591426193324973
llama3:8b,sexual_orientation,heterosexual,7,0.07,0.019992103700796654,0.12000789629920336
llama3:8b,sexual_orientation,bisexual,2,0.02,-0.007439495783560755,0.047439495783560756
llama3:8b,education_level,secondary,72,0.72,0.6319978353532179,0.8080021646467821
llama3:8b,education_level,no answer,16,0.16,0.08814653345166357,0.23185346654833644
llama3:8b,education_level,high school,12,0.12,0.05630870927157311,0.18369129072842688
llama3:8b,economic_status,middle class,60,0.6,0.5039817664728938,0.6960182335271061
llama3:8b,economic_status,consumer,22,0.22,0.13880921643246003,0.30119078356754
llama3:8b,economic_status,no answer,16,0.16,0.08814653345166357,0.23185346654833644
llama3:8b,economic_status,constrained,1,0.01,-0.009501395417987871,0.029501395417987873
llama3:8b,economic_status,worker,1,0.01,-0.009501395417987871,0.029501395417987873
llama3:8b,political_orientation,centrist,82,0.82,0.7447006426365766,0.8952993573634233
llama3:8b,political_orientation,no answer,16,0.16,0.08814653345166357,0.23185346654833644
llama3:8b,political_orientation,moderate,2,0.02,-0.007439495783560755,0.047439495783560756
llama3:8b,family_status,married,40,0.4,0.3039817664728938,0.4960182335271062
llama3:8b,family_status,no answer,24,0.24,0.156293244663611,0.323706755336389
llama3:8b,family_status,nuclear,18,0.18,0.1047006426365767,0.2552993573634233
llama3:8b,family_status,complex,8,0.08,0.02682751000723329,0.1331724899927667
llama3:8b,family_status,single,5,0.05,0.007283575292052952,0.09271642470794705
llama3:8b,family_status,couple,4,0.04,0.0015927065891575276,0.07840729341084247
llama3:8b,family_status,monogamous,1,0.01,-0.009501395417987871,0.029501395417987873
llama3:8b,health_status,average,57,0.57,0.47296693568931614,0.6670330643106838
llama3:8b,health_status,healthy,21,0.21,0.13016905247003796,0.289830947529962
llama3:8b,health_status,no answer,18,0.18,0.1047006426365767,0.2552993573634233
llama3:8b,health_status,variable,3,0.03,-0.0034344809563718257,0.06343448095637183
llama3:8b,health_status,complex,1,0.01,-0.009501395417987871,0.029501395417987873
